Label,Name,Parent,To_parent,From_parent
colony_forming_unit,,,,
colony_forming_unit per second,1/sec,,,
colony_forming_unit per week,1/w,colony_forming_unit per second,x * (1 / 604800),x / (1 / 604800)
colony_forming_unit per day,1/d,colony_forming_unit per second,x * (1 / 86400),x / (1 / 86400)
colony_forming_unit per hour,1/h,colony_forming_unit per second,x * (1 / 3600),x / (1 / 3600)
colony_forming_unit per minute,1/min,colony_forming_unit per second,x * (1 / 60),x / (1 / 60)
colony_forming_unit per cubic metre,1/m^3,,,
colony_forming_unit per cubic femtometre,1/fm^3,colony_forming_unit per cubic metre,x * (1 / 10 ^ -45),x / (1 / 10 ^ -45)
colony_forming_unit per cubic picometre,1/pm^3,colony_forming_unit per cubic metre,x * (1 / 10 ^ -36),x / (1 / 10 ^ -36)
colony_forming_unit per cubic nanometre,1/nm^3,colony_forming_unit per cubic metre,x * (1 / 10 ^ -27),x / (1 / 10 ^ -27)
colony_forming_unit per cubic micrometre,1/μm^3,colony_forming_unit per cubic metre,x * (1 / 10 ^ -18),x / (1 / 10 ^ -18)
colony_forming_unit per cubic millimetre,1/mm^3,colony_forming_unit per cubic metre,x * (1 / 10 ^ -9),x / (1 / 10 ^ -9)
colony_forming_unit per cubic centimetre,1/cm^3,colony_forming_unit per cubic metre,x * (1 / 10 ^ -6),x / (1 / 10 ^ -6)
colony_forming_unit per litre,1/l,colony_forming_unit per cubic metre,x * (1 / 10 ^ -3),x / (1 / 10 ^ -3)
colony_forming_unit per femtolitre,1/fl,colony_forming_unit per cubic metre,x * (1 / 10 ^ -18),x / (1 / 10 ^ -18)
colony_forming_unit per picolitre,1/pl,colony_forming_unit per cubic metre,x * (1 / 10 ^ -15),x / (1 / 10 ^ -15)
colony_forming_unit per nanolitre,1/nl,colony_forming_unit per cubic metre,x * (1 / 10 ^ -12),x / (1 / 10 ^ -12)
colony_forming_unit per microlitre,1/μl,colony_forming_unit per cubic metre,x * (1 / 10 ^ -9),x / (1 / 10 ^ -9)
colony_forming_unit per millilitre,1/ml,colony_forming_unit per cubic metre,x * (1 / 10 ^ -6),x / (1 / 10 ^ -6)
colony_forming_unit per centilitre,1/cl,colony_forming_unit per cubic metre,x * (1 / 10 ^ -5),x / (1 / 10 ^ -5)
cells per cubic metre,1/m^3,,,
cells per cubic femtometre,1/fm^3,cells per cubic metre,x * (1 / 10 ^ -45),x / (1 / 10 ^ -45)
cells per cubic picometre,1/pm^3,cells per cubic metre,x * (1 / 10 ^ -36),x / (1 / 10 ^ -36)
cells per cubic nanometre,1/nm^3,cells per cubic metre,x * (1 / 10 ^ -27),x / (1 / 10 ^ -27)
cells per cubic micrometre,1/μm^3,cells per cubic metre,x * (1 / 10 ^ -18),x / (1 / 10 ^ -18)
cells per cubic millimetre,1/mm^3,cells per cubic metre,x * (1 / 10 ^ -9),x / (1 / 10 ^ -9)
cells per cubic centimetre,1/cm^3,cells per cubic metre,x * (1 / 10 ^ -6),x / (1 / 10 ^ -6)
cells per litre,1/l,cells per cubic metre,x * (1 / 10 ^ -3),x / (1 / 10 ^ -3)
cells per femtolitre,1/fl,cells per cubic metre,x * (1 / 10 ^ -18),x / (1 / 10 ^ -18)
cells per picolitre,1/pl,cells per cubic metre,x * (1 / 10 ^ -15),x / (1 / 10 ^ -15)
cells per nanolitre,1/nl,cells per cubic metre,x * (1 / 10 ^ -12),x / (1 / 10 ^ -12)
cells per microlitre,1/μl,cells per cubic metre,x * (1 / 10 ^ -9),x / (1 / 10 ^ -9)
cells per millilitre,1/ml,cells per cubic metre,x * (1 / 10 ^ -6),x / (1 / 10 ^ -6)
cells per centilitre,1/cl,cells per cubic metre,x * (1 / 10 ^ -5),x / (1 / 10 ^ -5)
